shot,binary_string
0,000110b
1,010100b
2,010010b
3,000110b
4,010100b
5,000110b
6,000110b
7,010010b
8,010100b
9,000110b
10,010010b
11,000110b
12,010010b
13,010010b
14,010100b
15,000000b
16,000000b
17,010100b
18,000000b
19,000000b
20,000110b
21,000110b
22,000110b
23,010010b
24,010010b
25,010100b
26,010010b
27,010100b
28,000110b
29,010100b
30,010010b
31,010010b
32,000000b
33,010010b
34,010010b
35,000000b
36,000110b
37,010100b
38,010100b
39,000000b
40,000000b
41,010100b
42,010100b
43,010100b
44,010010b
45,000000b
46,010100b
47,000110b
48,010010b
49,010100b
50,010100b
51,010010b
52,010100b
53,010100b
54,010010b
55,000000b
56,010010b
57,000000b
58,000000b
59,000110b
60,000110b
61,000000b
62,010010b
63,000110b
64,010100b
65,000110b
66,000110b
67,000000b
68,010100b
69,000110b
70,010100b
71,010010b
72,010100b
73,010010b
74,010010b
75,000110b
76,010100b
77,000110b
78,010100b
79,010010b
80,010100b
81,010100b
82,000000b
83,000000b
84,000000b
85,010010b
86,010010b
87,000000b
88,000110b
89,000110b
90,000110b
91,010100b
92,010010b
93,000110b
94,000000b
95,010010b
96,000000b
97,000110b
98,000110b
99,010010b
100,000110b
101,000110b
102,010010b
103,010010b
104,010010b
105,010010b
106,000110b
107,000110b
108,000110b
109,000000b
110,010100b
111,000110b
112,000000b
113,010100b
114,000110b
115,000110b
116,000000b
117,000000b
118,000000b
119,000110b
120,000110b
121,000110b
122,010010b
123,010010b
124,010010b
125,000110b
126,010010b
127,010010b
128,010010b
129,010100b
130,000000b
131,000110b
132,010010b
133,000000b
134,010010b
135,010010b
136,010100b
137,010100b
138,000000b
139,010010b
140,010100b
141,000000b
142,010100b
143,000110b
144,010010b
145,010010b
146,010100b
147,000110b
148,010010b
149,010010b
150,010010b
151,000000b
152,010100b
153,010010b
154,000110b
155,010010b
156,000000b
157,010100b
158,000110b
159,000110b
160,010100b
161,000000b
162,000110b
163,010100b
164,010100b
165,000000b
166,000110b
167,000000b
168,000110b
169,000110b
170,000000b
171,000110b
172,000110b
173,000000b
174,000110b
175,000000b
176,000000b
177,010100b
178,010100b
179,010100b
180,000110b
181,000110b
182,000110b
183,000000b
184,000000b
185,000000b
186,010100b
187,000000b
188,010010b
189,000110b
190,000110b
191,000110b
192,000110b
193,010010b
194,000110b
195,010100b
196,000000b
197,000000b
198,010100b
199,000000b
200,010100b
201,010010b
202,010010b
203,000000b
204,010010b
205,010100b
206,010100b
207,010010b
208,010100b
209,010010b
210,010010b
211,010100b
212,010010b
213,010010b
214,010100b
215,000110b
216,010100b
217,010100b
218,010100b
219,010100b
220,010100b
221,010100b
222,000110b
223,010010b
224,000000b
225,000000b
226,010100b
227,010100b
228,010010b
229,010100b
230,010100b
231,000000b
232,000000b
233,000110b
234,000000b
235,010100b
236,000000b
237,010010b
238,000000b
239,010010b
240,010010b
241,000000b
242,010100b
243,000110b
244,010010b
245,000000b
246,010010b
247,000000b
248,000110b
249,000110b
250,000000b
251,000110b
252,010010b
253,010100b
254,010100b
255,010010b
256,000110b
257,010100b
258,000110b
259,010010b
260,000000b
261,000110b
262,000110b
263,000110b
264,000000b
265,000110b
266,010010b
267,010010b
268,010010b
269,010100b
270,010100b
271,010010b
272,010010b
273,010100b
274,010100b
275,010100b
276,010010b
277,010010b
278,010100b
279,000110b
280,010100b
281,010010b
282,010100b
283,010100b
284,010010b
285,000000b
286,000000b
287,000110b
288,000110b
289,010010b
290,000110b
291,010100b
292,000110b
293,010010b
294,010100b
295,000000b
296,000000b
297,000110b
298,010010b
299,000000b
300,000110b
301,010010b
302,010100b
303,000000b
304,010100b
305,000110b
306,000110b
307,010010b
308,000110b
309,000000b
310,010010b
311,000110b
312,000110b
313,000000b
314,000110b
315,010100b
316,010010b
317,010100b
318,000110b
319,000110b
320,010010b
321,000110b
322,000110b
323,000110b
324,000110b
325,010100b
326,000110b
327,000000b
328,000110b
329,000000b
330,000000b
331,000000b
332,000000b
333,000110b
334,010010b
335,010100b
336,010010b
337,000000b
338,010100b
339,000000b
340,000110b
341,000000b
342,000000b
343,010010b
344,010010b
345,010010b
346,010100b
347,000110b
348,010010b
349,010010b
350,000000b
351,010100b
352,010010b
353,000110b
354,010010b
355,010010b
356,010100b
357,000110b
358,000000b
359,010010b
360,000000b
361,010100b
362,010100b
363,000000b
364,000110b
365,010010b
366,010100b
367,010010b
368,000000b
369,010010b
370,010100b
371,000000b
372,010010b
373,010010b
374,010100b
375,000000b
376,000000b
377,000110b
378,000110b
379,000000b
380,010010b
381,000000b
382,000000b
383,010100b
384,000000b
385,000110b
386,000000b
387,000000b
388,010010b
389,000000b
390,010010b
391,010010b
392,000110b
393,000110b
394,010010b
395,000000b
396,010010b
397,000110b
398,010010b
399,010010b
400,000000b
401,010010b
402,010010b
403,010100b
404,010010b
405,010010b
406,010100b
407,000110b
408,000110b
409,010010b
410,010100b
411,000000b
412,000000b
413,010010b
414,010010b
415,010010b
416,010100b
417,010010b
418,000000b
419,000110b
420,000000b
421,000000b
422,000000b
423,000000b
424,000110b
425,010010b
426,000110b
427,000110b
428,000110b
429,010010b
430,010100b
431,000000b
432,000000b
433,010010b
434,010010b
435,000110b
436,000110b
437,000110b
438,000000b
439,010100b
440,000110b
441,000110b
442,000110b
443,010100b
444,000000b
445,000110b
446,010100b
447,000110b
448,010010b
449,000000b
450,000000b
451,000000b
452,010100b
453,010100b
454,010010b
455,010010b
456,000110b
457,000000b
458,000000b
459,010010b
460,000110b
461,000000b
462,010010b
463,010100b
464,010010b
465,000110b
466,000110b
467,000000b
468,000110b
469,010010b
470,000110b
471,000000b
472,000000b
473,000000b
474,010010b
475,010010b
476,000110b
477,010010b
478,000110b
479,010010b
480,010010b
481,000110b
482,010100b
483,010100b
484,000000b
485,010010b
486,010010b
487,010010b
488,000110b
489,010100b
490,000110b
491,010010b
492,000000b
493,010100b
494,010100b
495,010010b
